time.sec,MSH.1,FSH.1,FSH.2,blank.1,blank.2,blank.3,FSH.3,MSH.3,FSH.4,MSH.5,FSH.5,FSH.6,MBR.39,MBR.40,MBR.53,FBR.53,MBR.54,FBR.54,MBR.56,FBR.47,MBR.47,FBR.49,MBR.49,FBR.50
0,6.789,6.408,6.328,7.636,7.696,7.639,6.617,6.998,6.555,6.595,6.501,6.953,7.308,7.057,7.279,6.99,7.208,7.057,7.036,6.899,7.085,7.043,7.149,6.312
300,6.745,6.293,6.142,7.606,7.651,7.639,6.544,6.984,6.484,6.609,6.444,6.909,7.264,6.998,7.205,6.918,7.136,6.983,6.946,6.783,6.996,6.999,7.105,6.17
600,6.686,6.251,6.042,7.576,7.666,7.609,6.458,6.881,6.37,6.537,6.373,6.778,7.234,6.94,7.161,6.889,7.078,6.91,6.901,6.726,6.937,6.911,7.018,6.1
900,6.657,6.194,5.971,7.606,7.666,7.594,6.385,6.881,6.327,6.465,6.289,6.734,7.205,6.925,7.146,6.774,7.049,6.881,6.901,6.682,6.937,6.839,6.989,6.057
1200,6.555,6.109,5.844,7.576,7.636,7.624,6.27,6.852,6.256,6.351,6.148,6.705,7.161,6.881,7.102,6.774,7.02,6.837,6.871,6.639,6.893,6.824,6.945,5.903
1500,6.57,6.052,5.83,7.606,7.651,7.609,6.227,6.779,6.228,6.308,6.19,6.632,7.19,6.881,7.087,6.702,6.962,6.779,6.827,6.582,6.864,6.751,6.916,5.777
1800,6.482,5.94,5.801,7.606,7.621,7.579,6.184,6.721,6.2,6.265,6.134,6.574,7.161,6.808,7.087,6.659,6.962,6.72,6.753,6.567,6.79,6.722,6.916,5.652
2100,6.424,5.883,5.717,7.621,7.621,7.609,6.17,6.736,6.186,6.251,6.021,6.545,7.116,6.808,7.072,6.602,6.876,6.691,6.738,6.524,6.805,6.679,6.858,5.638
2400,6.41,5.855,5.661,7.591,7.636,7.624,6.127,6.692,6.087,6.209,5.952,6.502,7.072,6.678,7.014,6.559,6.862,6.633,6.693,6.495,6.732,6.65,6.858,5.666
2700,6.381,5.799,5.618,7.606,7.651,7.579,6.056,6.692,6.073,6.18,5.854,6.458,7.087,6.663,7.028,6.545,6.847,6.604,6.693,6.424,6.717,6.592,6.844,5.652
3000,6.352,5.771,5.548,7.606,7.636,7.609,5.985,6.663,5.933,6.138,5.798,6.444,7.072,6.576,6.999,6.502,6.804,6.546,6.619,6.41,6.673,6.578,6.786,5.39
3300,6.323,5.715,5.507,7.621,7.651,7.609,5.914,6.62,5.919,6.109,5.757,6.401,7.043,6.605,6.984,6.431,6.761,6.503,6.59,6.395,6.659,6.534,6.772,5.335
3600,6.308,5.646,5.437,7.606,7.651,7.594,5.886,6.562,5.905,6.081,5.632,6.329,6.999,6.49,6.941,6.389,6.747,6.46,6.546,6.353,6.629,6.477,6.743,5.307
3900,6.308,5.618,5.339,7.606,7.636,7.624,5.843,6.547,5.877,6.067,5.632,6.329,7.028,6.504,6.941,6.361,6.761,6.417,6.546,6.296,6.6,6.419,6.714,5.28
4200,6.28,5.576,5.27,7.606,7.666,7.639,5.829,6.49,5.807,6.025,5.577,6.3,6.999,6.475,6.911,6.332,6.718,6.417,6.502,6.296,6.586,6.405,6.686,5.171
